repository_name,date,views,unique_visitors/cloners
SimpleRick,2018-08-29,5,3
SimpleRick,2018-08-30,52,26
SimpleRick,2018-08-31,72,22
SimpleRick,2018-09-01,5,5
SimpleRick,2018-09-02,15,5
SimpleRick,2018-09-03,22,5
