repository_name,date,views,unique_visitors/cloners
SimpleRick,2018-09-13,8,2
SimpleRick,2018-09-14,2,1
SimpleRick,2018-09-16,1,1
SimpleRick,2018-09-17,1,1
SimpleRick,2018-09-19,1,1
SimpleRick,2018-09-20,18,2
SimpleRick,2018-09-21,1,1
SimpleRick,2018-09-26,10,3
