repository_name,date,views,unique_visitors/cloners
SimpleRick,2018-09-29,5,1
SimpleRick,2018-09-30,1,1
SimpleRick,2018-10-01,1,1
SimpleRick,2018-10-03,1,1
SimpleRick,2018-10-04,2,2
SimpleRick,2018-10-05,2,2
SimpleRick,2018-10-07,5,1
SimpleRick,2018-10-08,1,1
SimpleRick,2018-10-12,3,2
